name,stars,num_reviews,price,cuisine
Daniel,4.5 of 5 bubbles,"2,632 reviews",$$$$,French
Per Se,4.5 of 5 bubbles,"1,462 reviews",$$$$,French
Le Bernardin,4.5 of 5 bubbles,"2,782 reviews",$$$$,French
Russ & Daughters,4.5 of 5 bubbles,801 reviews,$$ - $$$,American
Club A Steakhouse,4.5 of 5 bubbles,"2,741 reviews",$$$$,American
Craft,4.5 of 5 bubbles,733 reviews,$$$$,American
The Modern,4.5 of 5 bubbles,"1,611 reviews",$$$$,French
Bleecker Street Pizza,4.5 of 5 bubbles,656 reviews,$,Italian
Blue Ribbon Sushi,4.5 of 5 bubbles,768 reviews,$$ - $$$,Japanese
Gotham Bar & Grill,4.5 of 5 bubbles,"1,479 reviews",$$$$,American
Via Della Pace,4.5 of 5 bubbles,762 reviews,$$ - $$$,Italian
Emporio,4.5 of 5 bubbles,413 reviews,$$ - $$$,Italian
Del Posto,4.5 of 5 bubbles,"1,332 reviews",$$$$,Italian
La Grenouille,4.5 of 5 bubbles,724 reviews,$$$$,French
Barney Greengrass,4.5 of 5 bubbles,386 reviews,$$ - $$$,American
Candle 79,4.5 of 5 bubbles,856 reviews,$$ - $$$,American
AQUAGRILL,4.5 of 5 bubbles,"1,018 reviews",$$$$,Seafood
Patsy's Italian Restaurant,4.5 of 5 bubbles,"3,329 reviews",$$ - $$$,Italian
The Little Owl,4.5 of 5 bubbles,"1,048 reviews",$$ - $$$,American
Forlini's Restaurant,4.5 of 5 bubbles,582 reviews,$$ - $$$,Italian
Luke's Lobster East Village,4.5 of 5 bubbles,600 reviews,$$ - $$$,American
Keens Steakhouse,4.5 of 5 bubbles,"5,178 reviews",$$$$,American
Il Gattopardo,4.5 of 5 bubbles,551 reviews,$$$$,Italian
Island Burgers and Shakes,4.5 of 5 bubbles,403 reviews,$$ - $$$,American
Buddakan,4.5 of 5 bubbles,"4,463 reviews",$$$$,Chinese
Il Punto Ristorante,4.5 of 5 bubbles,833 reviews,$$ - $$$,Italian
Veselka,4.5 of 5 bubbles,719 reviews,$$ - $$$,American
Basso56,4.5 of 5 bubbles,"1,915 reviews",$$ - $$$,Italian
Gallagher's Steak House,4 of 5 bubbles,"3,271 reviews",$$$$,American
Morimoto,4.5 of 5 bubbles,"1,358 reviews",$$$$,Japanese
The Mean Fiddler,4.5 of 5 bubbles,474 reviews,$$ - $$$,Irish
Whole Foods Market,4.5 of 5 bubbles,"1,376 reviews",$$ - $$$,Italian
Bemelmans Bar,4.5 of 5 bubbles,390 reviews,$$$$,American
Tony's Di Napoli - Midtown,4.5 of 5 bubbles,"4,806 reviews",$$ - $$$,Italian
Marea,4.5 of 5 bubbles,"1,743 reviews",$$$$,Italian
Beauty & Essex,4.5 of 5 bubbles,"1,622 reviews",$$$$,American
Union Square Cafe,4.5 of 5 bubbles,"1,054 reviews",$$$$,American
The NoMad Restaurant,4.5 of 5 bubbles,789 reviews,$$$$,American
Joe's Pizza - Carmine St,4.5 of 5 bubbles,972 reviews,$,Italian
Estiatorio Milos,4.5 of 5 bubbles,"1,125 reviews",$$$$,Seafood
Tree Bistro,4.5 of 5 bubbles,174 reviews,$$ - $$$,French
La Masseria,4.5 of 5 bubbles,"1,499 reviews",$$$$,Italian
Momofuku Noodle Bar,4.5 of 5 bubbles,"1,077 reviews",$$ - $$$,Japanese
Nobu 57,4.5 of 5 bubbles,"1,332 reviews",$$$$,Japanese
Jean Georges,4.5 of 5 bubbles,"1,659 reviews",$$$$,French
Buvette Gastrotheque,4.5 of 5 bubbles,639 reviews,$$ - $$$,French
Carmine's,4.5 of 5 bubbles,"1,228 reviews",$$ - $$$,Italian
The Meatball Shop,4.5 of 5 bubbles,889 reviews,$$ - $$$,Italian
Carmine's,4.5 of 5 bubbles,"9,058 reviews",$$ - $$$,Italian
Churrascaria Plataforma,4.5 of 5 bubbles,"1,232 reviews",$$$$,Steakhouse
Penelope,4.5 of 5 bubbles,"1,015 reviews",$$ - $$$,American
Clinton St. Baking Company & Restaurant,4.5 of 5 bubbles,"1,083 reviews",$$ - $$$,American
Westway Diner,4.5 of 5 bubbles,"1,203 reviews",$,American
Delmonico's,4.5 of 5 bubbles,737 reviews,$$$$,American
Toloache,4.5 of 5 bubbles,"1,577 reviews",$$ - $$$,Mexican
O'Hara's Restaurant and Pub,4.5 of 5 bubbles,802 reviews,$$ - $$$,American
Victor's Cafe,4.5 of 5 bubbles,"1,223 reviews",$$ - $$$,Latin
Cafe Boulud,4.5 of 5 bubbles,983 reviews,$$$$,French
Vezzo,4.5 of 5 bubbles,815 reviews,$$ - $$$,Italian
Five Guys,4.5 of 5 bubbles,"1,505 reviews",$,American
Cookshop,4.5 of 5 bubbles,849 reviews,$$ - $$$,American
5 Napkin Burger,4.5 of 5 bubbles,"3,186 reviews",$$ - $$$,American
Benito One,4.5 of 5 bubbles,985 reviews,$$ - $$$,Italian
Artichoke Pizza,4.5 of 5 bubbles,529 reviews,$,Italian
Sapporo Restaurant,4 of 5 bubbles,541 reviews,$,Japanese
Patzeria Perfect Pizza,4.5 of 5 bubbles,946 reviews,$,Italian
L'Artusi,4.5 of 5 bubbles,383 reviews,$$$$,Italian
Pick A Bagel,4.5 of 5 bubbles,592 reviews,$,American
Emmett O'Lunney's Irish Pub,4.5 of 5 bubbles,725 reviews,$$ - $$$,American
Ruth's Chris Steak House,4.5 of 5 bubbles,"1,123 reviews",$$$$,American
Quality Meats,4.5 of 5 bubbles,"1,910 reviews",$$$$,American
Jackson Hole,4.5 of 5 bubbles,647 reviews,$$ - $$$,American
Boulud Sud,4.5 of 5 bubbles,692 reviews,$$$$,Mediterranean
